,Spotify Popularity,released_year,released_month,released_day
Spotify Popularity,1.0,-0.09309937105876688,0.006791245326382308,-0.025236068992550046
released_year,-0.09309937105876688,1.0,0.08456125225596825,0.13672034457738955
released_month,0.006791245326382308,0.08456125225596825,1.0,-0.009840578072200451
released_day,-0.025236068992550046,0.13672034457738955,-0.009840578072200451,1.0
