,Spotify Popularity,released_year,released_month,released_day
Spotify Popularity,,0.011394477824817763,0.8538711351231644,0.49365071954337164
released_year,0.011394477824817763,,0.02159446754471865,0.0001950233329384064
released_month,0.8538711351231644,0.02159446754471865,,0.7895584868164925
released_day,0.49365071954337164,0.0001950233329384064,0.7895584868164925,
